Status Rekening,Durasi dalam bulan,Riwayat Kredit,Tujuan Kredit,Jumlah Kredit (DM),Tabungan/Bonds,Pekerjaan Saat Ini,Tingkat Angsuran (%),Status Pribadi dan Jenis Kelamin,Debitur / Penjamin,Tinggal di Tempat Saat Ini,Properti,Usia (tahun),Rencana Angsuran Lain,Tempat Tinggal,Jumlah Kredit di Bank Ini,Pekerjaan,Jumlah Tanggungan,Nomor Telepon,Pekerja Migran,Kelayakan Kredit
>= 200 DM / gaji tetap,15,Kredit berjalan lancar,Pendidikan,392,< 100 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,23,Tidak ada,Sewa,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,18,Kredit berjalan lancar,Mobil baru,6260,< 100 DM,4-7 thn,3,Pria lajang,Tidak ada,3,Properti,28,Tidak ada,Sewa,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
Tidak ada rekening,36,Masalah / kredit di luar bank,Mobil baru,7855,< 100 DM,1-4 thn,4,Wanita menikah/cerai,Tidak ada,2,Properti,25,Toko,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Buruk
< 0 DM,12,Kredit berjalan lancar,TV / Radio,1680,500-999 DM,>= 7 thn,3,Pria menikah/duda,Tidak ada,1,Properti,35,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,48,Masalah / kredit di luar bank,TV / Radio,3578,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,1,Properti,47,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,42,Kredit berjalan lancar,TV / Radio,7174,Tidak ada / tidak tahu,4-7 thn,4,Wanita menikah/cerai,Tidak ada,3,Mobil / lainnya,30,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Ada,Ya,Buruk
< 0 DM,10,Masalah / kredit di luar bank,Furniture,2132,Tidak ada / tidak tahu,< 1 thn,2,Wanita menikah/cerai,Ko-pemohon,3,Properti,27,Tidak ada,Sewa,2,Terampil / pegawai,1,Tidak ada,Bukan,Baik
< 0 DM,33,Masalah / kredit di luar bank,Furniture,4281,500-999 DM,1-4 thn,1,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,23,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Buruk
0-199 DM,12,Masalah / kredit di luar bank,Mobil baru,2366,500-999 DM,4-7 thn,3,Pria cerai/pisah,Tidak ada,3,Mobil / lainnya,36,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Ada,Ya,Baik
< 0 DM,21,Kredit berjalan lancar,TV / Radio,1835,< 100 DM,1-4 thn,3,Wanita menikah/cerai,Tidak ada,2,Properti,25,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Buruk
Tidak ada rekening,24,Masalah / kredit di luar bank,Mobil bekas,3868,< 100 DM,>= 7 thn,4,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,41,Tidak ada,Sewa,2,Manajer / profesional,1,Ada,Ya,Baik
Tidak ada rekening,12,Kredit berjalan lancar,Furniture,1768,< 100 DM,1-4 thn,3,Pria lajang,Tidak ada,2,Properti,24,Tidak ada,Sewa,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
>= 200 DM / gaji tetap,10,Masalah / kredit di luar bank,Mobil baru,781,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,63,Tidak ada,Gratis,2,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,18,Kredit berjalan lancar,Furniture,1924,Tidak ada / tidak tahu,< 1 thn,4,Wanita menikah/cerai,Tidak ada,3,Properti,27,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
< 0 DM,12,Masalah / kredit di luar bank,Mobil baru,2121,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,2,Tabungan/Asuransi,30,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,12,Kredit berjalan lancar,TV / Radio,701,< 100 DM,1-4 thn,4,Pria menikah/duda,Tidak ada,2,Properti,40,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
0-199 DM,12,Kredit berjalan lancar,Renovasi,639,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,2,Mobil / lainnya,30,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
0-199 DM,12,Masalah / kredit di luar bank,Mobil bekas,1860,< 100 DM,Menganggur,4,Pria lajang,Tidak ada,2,Mobil / lainnya,34,Tidak ada,Milik sendiri,2,Manajer / profesional,1,Ada,Ya,Baik
< 0 DM,12,Masalah / kredit di luar bank,Mobil baru,3499,< 100 DM,1-4 thn,3,Wanita menikah/cerai,Ko-pemohon,2,Properti,29,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Buruk
0-199 DM,48,Kredit berjalan lancar,Mobil baru,8487,Tidak ada / tidak tahu,4-7 thn,1,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,24,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,36,Pernah telat bayar,Pendidikan,6887,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,3,Tabungan/Asuransi,29,Toko,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Buruk
Tidak ada rekening,15,Kredit berjalan lancar,Furniture,2708,< 100 DM,< 1 thn,2,Pria lajang,Tidak ada,3,Tabungan/Asuransi,27,Bank,Milik sendiri,2,Tidak terampil (residen),1,Tidak ada,Ya,Baik
Tidak ada rekening,18,Kredit berjalan lancar,Furniture,1984,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,47,Bank,Gratis,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,60,Kredit berjalan lancar,TV / Radio,10144,100-499 DM,4-7 thn,2,Wanita menikah/cerai,Tidak ada,4,Properti,21,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,12,Masalah / kredit di luar bank,TV / Radio,1240,Tidak ada / tidak tahu,>= 7 thn,4,Wanita menikah/cerai,Tidak ada,2,Properti,38,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,27,Pernah telat bayar,Mobil bekas,8613,>= 1000 DM,1-4 thn,2,Pria lajang,Tidak ada,2,Mobil / lainnya,27,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,12,Kredit berjalan lancar,TV / Radio,766,500-999 DM,1-4 thn,4,Pria lajang,Tidak ada,3,Properti,66,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
0-199 DM,15,Masalah / kredit di luar bank,TV / Radio,2728,Tidak ada / tidak tahu,4-7 thn,4,Pria lajang,Penjamin,2,Properti,35,Bank,Milik sendiri,3,Terampil / pegawai,1,Ada,Ya,Baik
>= 200 DM / gaji tetap,12,Kredit berjalan lancar,TV / Radio,1881,< 100 DM,1-4 thn,2,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,44,Tidak ada,Sewa,1,Tidak terampil (residen),1,Ada,Ya,Baik
>= 200 DM / gaji tetap,6,Kredit berjalan lancar,Mobil baru,709,>= 1000 DM,< 1 thn,2,Pria menikah/duda,Tidak ada,2,Properti,27,Tidak ada,Milik sendiri,1,Pengangguran / tidak terampil (non-residen),1,Tidak ada,Bukan,Baik
0-199 DM,36,Kredit berjalan lancar,TV / Radio,4795,< 100 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,1,Tidak ada / tidak tahu,30,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Ada,Ya,Baik
< 0 DM,27,Kredit berjalan lancar,TV / Radio,3416,< 100 DM,1-4 thn,3,Pria lajang,Tidak ada,2,Mobil / lainnya,27,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Tidak ada,Ya,Baik
< 0 DM,18,Kredit berjalan lancar,Furniture,2462,< 100 DM,1-4 thn,2,Pria lajang,Tidak ada,2,Mobil / lainnya,22,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,21,Masalah / kredit di luar bank,Furniture,2288,< 100 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,23,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,48,Kredit di bank ini lancar,Bisnis,3566,100-499 DM,4-7 thn,4,Pria lajang,Tidak ada,2,Mobil / lainnya,30,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,6,Masalah / kredit di luar bank,Mobil baru,860,< 100 DM,>= 7 thn,1,Wanita menikah/cerai,Tidak ada,4,Tidak ada / tidak tahu,39,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,12,Masalah / kredit di luar bank,Mobil baru,682,100-499 DM,4-7 thn,4,Wanita menikah/cerai,Tidak ada,3,Mobil / lainnya,51,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,36,Masalah / kredit di luar bank,Furniture,5371,< 100 DM,1-4 thn,3,Pria lajang,Penjamin,2,Tabungan/Asuransi,28,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,18,Masalah / kredit di luar bank,TV / Radio,1582,>= 1000 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Mobil / lainnya,46,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,6,Kredit berjalan lancar,TV / Radio,1346,100-499 DM,>= 7 thn,2,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,42,Bank,Gratis,1,Terampil / pegawai,2,Ada,Ya,Baik
Tidak ada rekening,10,Kredit berjalan lancar,TV / Radio,1924,< 100 DM,1-4 thn,1,Pria lajang,Tidak ada,4,Tabungan/Asuransi,38,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Bukan,Baik
>= 200 DM / gaji tetap,36,Kredit berjalan lancar,TV / Radio,5848,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,1,Mobil / lainnya,24,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,24,Masalah / kredit di luar bank,Mobil bekas,7758,>= 1000 DM,>= 7 thn,2,Wanita menikah/cerai,Tidak ada,4,Tidak ada / tidak tahu,29,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,24,Pernah telat bayar,Bisnis,6967,100-499 DM,4-7 thn,4,Pria lajang,Tidak ada,4,Mobil / lainnya,36,Tidak ada,Sewa,1,Manajer / profesional,1,Ada,Ya,Baik
< 0 DM,12,Kredit berjalan lancar,Furniture,1282,< 100 DM,1-4 thn,2,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,20,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
< 0 DM,9,Masalah / kredit di luar bank,Renovasi,1288,100-499 DM,>= 7 thn,3,Pria lajang,Penjamin,4,Properti,48,Tidak ada,Milik sendiri,2,Terampil / pegawai,2,Tidak ada,Bukan,Baik
< 0 DM,12,Kredit di bank ini lancar,Pelatihan ulang,339,< 100 DM,>= 7 thn,4,Pria menikah/duda,Tidak ada,1,Mobil / lainnya,45,Bank,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
0-199 DM,24,Kredit berjalan lancar,Mobil baru,3512,100-499 DM,4-7 thn,2,Pria lajang,Tidak ada,3,Mobil / lainnya,38,Bank,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,6,Masalah / kredit di luar bank,TV / Radio,1898,Tidak ada / tidak tahu,1-4 thn,1,Pria lajang,Tidak ada,2,Properti,34,Tidak ada,Milik sendiri,2,Tidak terampil (residen),2,Tidak ada,Ya,Baik
Tidak ada rekening,24,Masalah / kredit di luar bank,TV / Radio,2872,100-499 DM,>= 7 thn,3,Pria lajang,Tidak ada,4,Properti,36,Tidak ada,Milik sendiri,1,Terampil / pegawai,2,Ada,Ya,Baik
Tidak ada rekening,18,Masalah / kredit di luar bank,Mobil baru,1055,< 100 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,1,Tabungan/Asuransi,30,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,15,Kredit berjalan lancar,Peralatan rumah,1262,500-999 DM,4-7 thn,4,Pria lajang,Tidak ada,3,Tabungan/Asuransi,36,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,10,Kredit berjalan lancar,Mobil baru,7308,< 100 DM,Menganggur,2,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,70,Bank,Gratis,1,Manajer / profesional,1,Ada,Ya,Baik
Tidak ada rekening,36,Kredit berjalan lancar,Mobil baru,909,500-999 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Tabungan/Asuransi,36,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,6,Kredit berjalan lancar,Furniture,2978,500-999 DM,1-4 thn,1,Pria lajang,Tidak ada,2,Mobil / lainnya,32,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,18,Kredit berjalan lancar,Furniture,1131,< 100 DM,Menganggur,4,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,33,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
0-199 DM,11,Kredit berjalan lancar,Furniture,1577,>= 1000 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,1,Properti,20,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,24,Kredit berjalan lancar,Furniture,3972,< 100 DM,4-7 thn,2,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,25,Tidak ada,Sewa,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,24,Masalah / kredit di luar bank,Bisnis,1935,< 100 DM,>= 7 thn,4,Pria cerai/pisah,Tidak ada,4,Properti,31,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Buruk
< 0 DM,15,Tidak pernah kredit / selalu lancar,Mobil baru,950,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,3,Mobil / lainnya,33,Tidak ada,Sewa,2,Terampil / pegawai,2,Tidak ada,Ya,Buruk
Tidak ada rekening,12,Kredit berjalan lancar,Furniture,763,< 100 DM,1-4 thn,4,Wanita menikah/cerai,Tidak ada,1,Properti,26,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,24,Pernah telat bayar,Furniture,2064,< 100 DM,Menganggur,3,Wanita menikah/cerai,Tidak ada,2,Tabungan/Asuransi,34,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Ada,Ya,Buruk
0-199 DM,8,Kredit berjalan lancar,TV / Radio,1414,< 100 DM,1-4 thn,4,Pria lajang,Penjamin,2,Properti,33,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Bukan,Baik
< 0 DM,21,Pernah telat bayar,Pendidikan,3414,< 100 DM,< 1 thn,2,Pria lajang,Tidak ada,1,Tabungan/Asuransi,26,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,30,Kredit di bank ini lancar,Mobil bekas,7485,Tidak ada / tidak tahu,Menganggur,4,Wanita menikah/cerai,Tidak ada,1,Properti,53,Bank,Milik sendiri,1,Manajer / profesional,1,Ada,Ya,Buruk
< 0 DM,12,Kredit berjalan lancar,Furniture,2577,< 100 DM,1-4 thn,2,Pria cerai/pisah,Tidak ada,1,Mobil / lainnya,42,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,6,Masalah / kredit di luar bank,TV / Radio,338,500-999 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Mobil / lainnya,52,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,12,Kredit berjalan lancar,TV / Radio,1963,< 100 DM,4-7 thn,4,Pria lajang,Tidak ada,2,Mobil / lainnya,31,Tidak ada,Sewa,2,Manajer / profesional,2,Ada,Ya,Baik
< 0 DM,21,Masalah / kredit di luar bank,Mobil baru,571,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Properti,65,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,36,Pernah telat bayar,Bisnis,9572,< 100 DM,< 1 thn,1,Pria cerai/pisah,Tidak ada,1,Mobil / lainnya,28,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Buruk
0-199 DM,36,Pernah telat bayar,Bisnis,4455,< 100 DM,1-4 thn,2,Pria cerai/pisah,Tidak ada,2,Properti,30,Toko,Milik sendiri,2,Manajer / profesional,1,Ada,Ya,Buruk
< 0 DM,21,Kredit di bank ini lancar,Mobil baru,1647,Tidak ada / tidak tahu,1-4 thn,4,Pria lajang,Tidak ada,2,Tabungan/Asuransi,40,Tidak ada,Milik sendiri,2,Tidak terampil (residen),2,Tidak ada,Ya,Buruk
Tidak ada rekening,24,Masalah / kredit di luar bank,Furniture,3777,>= 1000 DM,1-4 thn,4,Pria lajang,Tidak ada,4,Properti,50,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,18,Masalah / kredit di luar bank,Mobil baru,884,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Mobil / lainnya,36,Bank,Milik sendiri,1,Terampil / pegawai,2,Ada,Ya,Buruk
Tidak ada rekening,15,Masalah / kredit di luar bank,TV / Radio,1360,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,2,Tabungan/Asuransi,31,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,9,Kredit di bank ini lancar,Mobil bekas,5129,< 100 DM,>= 7 thn,2,Wanita menikah/cerai,Tidak ada,4,Tidak ada / tidak tahu,74,Bank,Gratis,1,Manajer / profesional,2,Ada,Ya,Buruk
0-199 DM,16,Masalah / kredit di luar bank,Mobil baru,1175,< 100 DM,Menganggur,2,Pria lajang,Tidak ada,3,Mobil / lainnya,68,Tidak ada,Gratis,3,Pengangguran / tidak terampil (non-residen),1,Ada,Ya,Baik
< 0 DM,12,Kredit berjalan lancar,TV / Radio,674,100-499 DM,4-7 thn,4,Pria menikah/duda,Tidak ada,1,Tabungan/Asuransi,20,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
0-199 DM,18,Tidak pernah kredit / selalu lancar,Furniture,3244,< 100 DM,1-4 thn,1,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,33,Bank,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,24,Kredit berjalan lancar,Bisnis,4591,>= 1000 DM,1-4 thn,2,Pria lajang,Tidak ada,3,Tabungan/Asuransi,54,Tidak ada,Milik sendiri,3,Manajer / profesional,1,Ada,Ya,Buruk
0-199 DM,48,Tidak pernah kredit / selalu lancar,Bisnis,3844,100-499 DM,4-7 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,34,Tidak ada,Gratis,1,Tidak terampil (residen),2,Tidak ada,Ya,Buruk
0-199 DM,27,Kredit berjalan lancar,Bisnis,3915,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,2,Mobil / lainnya,36,Tidak ada,Milik sendiri,1,Terampil / pegawai,2,Ada,Ya,Buruk
Tidak ada rekening,6,Kredit berjalan lancar,TV / Radio,2108,< 100 DM,4-7 thn,2,Pria menikah/duda,Tidak ada,2,Properti,29,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,45,Kredit berjalan lancar,TV / Radio,3031,100-499 DM,1-4 thn,4,Pria lajang,Penjamin,4,Tabungan/Asuransi,21,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
0-199 DM,9,Masalah / kredit di luar bank,Pendidikan,1501,< 100 DM,>= 7 thn,2,Wanita menikah/cerai,Tidak ada,3,Mobil / lainnya,34,Tidak ada,Milik sendiri,2,Manajer / profesional,1,Ada,Ya,Buruk
Tidak ada rekening,6,Masalah / kredit di luar bank,TV / Radio,1382,< 100 DM,1-4 thn,1,Wanita menikah/cerai,Tidak ada,1,Mobil / lainnya,28,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,12,Kredit berjalan lancar,Furniture,951,100-499 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,27,Bank,Sewa,4,Terampil / pegawai,1,Tidak ada,Ya,Buruk
0-199 DM,24,Kredit berjalan lancar,Mobil bekas,2760,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,36,Bank,Gratis,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,18,Pernah telat bayar,Furniture,4297,< 100 DM,>= 7 thn,4,Pria cerai/pisah,Tidak ada,3,Tidak ada / tidak tahu,40,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Ada,Ya,Buruk
Tidak ada rekening,9,Masalah / kredit di luar bank,Pendidikan,936,500-999 DM,>= 7 thn,4,Pria lajang,Tidak ada,2,Mobil / lainnya,52,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,12,Kredit berjalan lancar,Mobil baru,1168,< 100 DM,1-4 thn,4,Pria menikah/duda,Tidak ada,3,Properti,27,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
Tidak ada rekening,27,Pernah telat bayar,Bisnis,5117,< 100 DM,4-7 thn,3,Pria lajang,Tidak ada,4,Mobil / lainnya,26,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,12,Kredit berjalan lancar,Pelatihan ulang,902,< 100 DM,4-7 thn,4,Pria menikah/duda,Tidak ada,4,Tabungan/Asuransi,21,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,12,Masalah / kredit di luar bank,Mobil baru,1495,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,1,Properti,38,Tidak ada,Milik sendiri,2,Tidak terampil (residen),2,Tidak ada,Ya,Baik
< 0 DM,30,Masalah / kredit di luar bank,Mobil bekas,10623,< 100 DM,>= 7 thn,3,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,38,Tidak ada,Gratis,3,Manajer / profesional,2,Ada,Ya,Baik
Tidak ada rekening,12,Masalah / kredit di luar bank,Furniture,1935,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Properti,43,Tidak ada,Milik sendiri,3,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,12,Masalah / kredit di luar bank,Peralatan rumah,1424,< 100 DM,4-7 thn,4,Pria lajang,Tidak ada,3,Tabungan/Asuransi,26,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,24,Kredit berjalan lancar,Bisnis,6568,< 100 DM,1-4 thn,2,Pria menikah/duda,Tidak ada,2,Mobil / lainnya,21,Toko,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
Tidak ada rekening,12,Kredit berjalan lancar,Mobil bekas,1413,>= 1000 DM,4-7 thn,3,Pria lajang,Tidak ada,2,Tabungan/Asuransi,55,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Bukan,Baik
Tidak ada rekening,9,Masalah / kredit di luar bank,TV / Radio,3074,Tidak ada / tidak tahu,1-4 thn,1,Pria lajang,Tidak ada,2,Properti,33,Tidak ada,Milik sendiri,2,Terampil / pegawai,2,Tidak ada,Ya,Baik
Tidak ada rekening,36,Kredit berjalan lancar,TV / Radio,3835,Tidak ada / tidak tahu,>= 7 thn,2,Wanita menikah/cerai,Tidak ada,4,Properti,45,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Ada,Ya,Baik
< 0 DM,27,Tidak pernah kredit / selalu lancar,Bisnis,5293,< 100 DM,Menganggur,2,Pria lajang,Tidak ada,4,Tabungan/Asuransi,50,Toko,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Buruk
>= 200 DM / gaji tetap,30,Pernah telat bayar,Bisnis,1908,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Properti,66,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Ada,Ya,Buruk
Tidak ada rekening,36,Masalah / kredit di luar bank,TV / Radio,3342,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,2,Mobil / lainnya,51,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,6,Masalah / kredit di luar bank,Pelatihan ulang,932,Tidak ada / tidak tahu,4-7 thn,1,Wanita menikah/cerai,Tidak ada,3,Tabungan/Asuransi,39,Tidak ada,Milik sendiri,2,Tidak terampil (residen),1,Tidak ada,Ya,Baik
< 0 DM,18,Tidak pernah kredit / selalu lancar,Bisnis,3104,< 100 DM,4-7 thn,3,Pria lajang,Tidak ada,1,Tabungan/Asuransi,31,Bank,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
>= 200 DM / gaji tetap,36,Kredit berjalan lancar,TV / Radio,3913,< 100 DM,1-4 thn,2,Pria lajang,Tidak ada,2,Properti,23,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,24,Kredit berjalan lancar,Furniture,3021,< 100 DM,1-4 thn,2,Pria cerai/pisah,Tidak ada,2,Properti,24,Tidak ada,Sewa,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
Tidak ada rekening,10,Kredit berjalan lancar,Mobil baru,1364,< 100 DM,1-4 thn,2,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,64,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,12,Kredit berjalan lancar,TV / Radio,625,< 100 DM,< 1 thn,4,Pria menikah/duda,Penjamin,1,Properti,26,Bank,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
< 0 DM,12,Kredit berjalan lancar,Pendidikan,1200,Tidak ada / tidak tahu,1-4 thn,4,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,23,Bank,Sewa,1,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,12,Kredit berjalan lancar,TV / Radio,707,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,2,Properti,30,Bank,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,24,Pernah telat bayar,Bisnis,2978,Tidak ada / tidak tahu,1-4 thn,4,Pria lajang,Tidak ada,4,Properti,32,Tidak ada,Milik sendiri,2,Terampil / pegawai,2,Ada,Ya,Baik
